route,layer,activation_rms,gradient_rms,active_fraction,finite
plain,0,0.4191279113292694,4.569546780894274e-13,,True
plain,1,0.19507528841495514,8.377940539667367e-14,0.499982625246048,True
plain,2,0.09726343303918839,1.704812506442277e-13,0.4655382037162781,True
plain,3,0.04441695660352707,3.443144749350202e-13,0.47453126311302185,True
plain,4,0.0198614951223135,7.197828487751079e-13,0.4668402671813965,True
plain,5,0.011204286478459835,1.4363726137320287e-12,0.5259374976158142,True
plain,6,0.005612964741885662,3.065925985312745e-12,0.49585068225860596,True
plain,7,0.0027089030481874943,6.420952745195274e-12,0.4834982752799988,True
plain,8,0.001359159592539072,1.3118280767221435e-11,0.4514930546283722,True
plain,9,0.0007853033021092415,2.5788213578459285e-11,0.5337326526641846,True
plain,10,0.0004125119303353131,4.9862860368454776e-11,0.5033767223358154,True
plain,11,0.00017667218344286084,9.877046402984035e-11,0.44880208373069763,True
plain,12,0.000104291713796556,1.9919157989711778e-10,0.5161371231079102,True
plain,13,5.4140997235663235e-05,3.8660960544056877e-10,0.5249739289283752,True
plain,14,2.573236452008132e-05,8.175429777601551e-10,0.4738020896911621,True
plain,15,1.3108038729114924e-05,1.644078539975169e-09,0.44930556416511536,True
plain,16,6.853261311334791e-06,3.0528195527068647e-09,0.5467968583106995,True
plain,17,3.7130510008864803e-06,5.818860948636484e-09,0.5511631965637207,True
plain,18,1.8752887172013288e-06,1.1523103360389086e-08,0.5125607848167419,True
plain,19,1.057114445757179e-06,2.151631228741735e-08,0.5455121397972107,True
plain,20,5.574394208451849e-07,4.2320319693089914e-08,0.46242186427116394,True
plain,21,3.0066641443227127e-07,7.755609487958282e-08,0.5468662977218628,True
plain,22,1.5061853275710746e-07,1.6949263681453886e-07,0.46270832419395447,True
plain,23,7.683956226856026e-08,3.3929032383639424e-07,0.5031510591506958,True
plain,24,3.818705707203662e-08,6.250789965633885e-07,0.5238454937934875,True
plain,25,2.139713117799147e-08,1.3253795714263106e-06,0.4878385365009308,True
plain,26,1.1865354032636333e-08,2.7119247079099296e-06,0.5372569561004639,True
plain,27,6.410714181726007e-09,5.477977083501173e-06,0.5396093726158142,True
plain,28,2.935986342933461e-09,1.229533245350467e-05,0.4742708206176758,True
plain,29,1.7867889390288383e-09,2.6021223675343208e-05,0.5450173616409302,True
plain,30,1.0215391865742163e-09,5.276337105897255e-05,0.4928819537162781,True
batchnorm,0,0.4191279113292694,0.2248597890138626,,True
batchnorm,1,0.7059588432312012,0.028709936887025833,0.4989149272441864,True
batchnorm,2,0.7080678939819336,0.016106311231851578,0.49726563692092896,True
batchnorm,3,0.695783793926239,0.010824027471244335,0.51192706823349,True
batchnorm,4,0.6979393362998962,0.007955326698720455,0.5090017318725586,True
batchnorm,5,0.709714412689209,0.006172723136842251,0.49749132990837097,True
batchnorm,6,0.7047947645187378,0.004786505829542875,0.5055902600288391,True
batchnorm,7,0.7044751048088074,0.003807823173701763,0.5044357776641846,True
batchnorm,8,0.705187976360321,0.0030563888140022755,0.5012326240539551,True
batchnorm,9,0.7091080546379089,0.0024629116524010897,0.49942708015441895,True
batchnorm,10,0.706265389919281,0.00196312228217721,0.49790799617767334,True
batchnorm,11,0.6993374228477478,0.0016060846392065287,0.5069618225097656,True
batchnorm,12,0.7123900651931763,0.0012801530538126826,0.49466145038604736,True
batchnorm,13,0.7060617208480835,0.0010520635405555367,0.4983246624469757,True
batchnorm,14,0.7003992199897766,0.0008576869149692357,0.504895806312561,True
batchnorm,15,0.7038881778717041,0.0007130001904442906,0.4997916519641876,True
batchnorm,16,0.7123530507087708,0.0005881038960069418,0.49612846970558167,True
batchnorm,17,0.717838704586029,0.0004954879987053573,0.4945659637451172,True
batchnorm,18,0.7098087668418884,0.0004200977273285389,0.5010069608688354,True
batchnorm,19,0.7093176245689392,0.00035368770477361977,0.4991319477558136,True
batchnorm,20,0.6991888880729675,0.00030359020456671715,0.5064235925674438,True
batchnorm,21,0.7134211659431458,0.0002460897958371788,0.4962586760520935,True
batchnorm,22,0.7225027680397034,0.00020972367201466113,0.49237847328186035,True
batchnorm,23,0.7130585312843323,0.00017926996224559844,0.49808159470558167,True
batchnorm,24,0.7209329605102539,0.00015062731108628213,0.4946267306804657,True
batchnorm,25,0.7151490449905396,0.00012738103396259248,0.49715277552604675,True
