condition,epoch,train_objective,train_stochastic_accuracy,train_clean_loss,train_clean_accuracy,val_loss,val_accuracy,decayed_parameter_l2,epoch_seconds
baseline,0,nan,nan,2.3034690704345704,0.1,2.3034230041503907,0.1,13.954270362854004,0.2962921250000363
baseline,1,2.22965295791626,0.1675,2.053993194580078,0.2585,2.0796036743164064,0.2484,14.443514823913574,0.4302674999998999
baseline,2,2.0120476751327514,0.259,1.9354356536865234,0.3045,1.972506268310547,0.288,14.838665008544922,0.28047095800138777
baseline,3,1.8650241947174073,0.326,1.8240553283691405,0.336,1.9160605163574218,0.3052,15.228466033935547,0.26660216699383454
baseline,4,1.7507403564453126,0.366,1.6455104675292969,0.407,1.7496340911865234,0.3624,15.564580917358398,0.26101208299951395
baseline,5,1.633176383972168,0.4035,1.571909423828125,0.431,1.7415663360595703,0.3544,15.92657470703125,0.279785582999466
baseline,6,1.5288564977645873,0.445,1.4435843658447265,0.4755,1.664931900024414,0.3968,16.30466079711914,0.27899645799334394
baseline,7,1.4221958322525023,0.4945,1.3265806579589843,0.5235,1.6395575805664062,0.4096,16.659177780151367,0.2835563750049914
baseline,8,1.3040800561904908,0.544,1.1968193664550781,0.5695,1.6009631225585939,0.4274,17.035810470581055,0.27978491700196173
baseline,9,1.21246568107605,0.5655,1.148774688720703,0.581,1.7090929443359375,0.4072,17.43640899658203,0.2858638749967213
baseline,10,1.0696268196105958,0.626,0.924659164428711,0.6775,1.7153354125976563,0.4372,17.854028701782227,0.27186133400391554
baseline,11,0.9207569842338562,0.6775,0.8080812225341797,0.722,1.7078475219726563,0.4522,18.27971839904785,0.2679527920045075
baseline,12,0.7740087666511536,0.728,0.6027384948730469,0.791,1.9529377990722656,0.437,18.71848487854004,0.27124662500136765
baseline,13,0.6524434602260589,0.7665,0.6242216911315918,0.768,2.2771681396484373,0.431,19.16045379638672,0.28977316599775804
baseline,14,0.5402156896591187,0.811,0.41085991287231444,0.8635,2.0922826110839843,0.443,19.5826473236084,0.2892844160014647
baseline,15,0.39300328493118286,0.8625,0.250456485748291,0.9265,2.51794365234375,0.4432,20.008878707885742,0.260048584001197
baseline,16,0.3144118182659149,0.8985,0.20364794540405273,0.9405,2.69041142578125,0.4386,20.395143508911133,0.274635916997795
baseline,17,0.18699248147010802,0.943,0.10211359119415284,0.9775,3.110626983642578,0.4422,20.73570442199707,0.2722405000022263
baseline,18,0.10921736860275269,0.9745,0.06273959016799927,0.9865,3.7348710327148438,0.4522,20.998592376708984,0.2782542499990086
baseline,19,0.12191753566265107,0.9595,0.06452238273620606,0.9835,3.5028544311523437,0.4416,21.242582321166992,0.26034387500112643
baseline,20,0.1302136868238449,0.9595,0.06947318744659424,0.983,3.6251218627929687,0.441,21.477622985839844,0.25786629100184655
baseline,21,0.08665860539674759,0.973,0.06836794471740723,0.98,4.269419030761719,0.4328,21.71999740600586,0.2793008330045268
baseline,22,0.08459814000129699,0.9745,0.05758271336555481,0.9805,4.225852392578125,0.4342,21.947399139404297,0.2756960420010728
baseline,23,0.060043155074119565,0.979,0.03761460161209106,0.992,4.3629276489257816,0.4416,22.147214889526367,0.2875355829964974
baseline,24,0.0486714451611042,0.9845,0.02353158140182495,0.9945,4.445200903320313,0.4348,22.310609817504883,0.25681258300028276
baseline,25,0.034773900032043455,0.9915,0.039404875755310056,0.99,4.830235290527344,0.4422,22.448720932006836,0.2532841250067577
baseline,26,0.03415182194113731,0.991,0.02940235424041748,0.992,4.5520748046875,0.437,22.572223663330078,0.2558527500004857
baseline,27,0.020632727086544036,0.994,0.009307069838047027,0.9985,4.696296533203125,0.4528,22.659711837768555,0.2550777090000338
baseline,28,0.00820525485277176,0.998,0.0033355116099119185,0.9995,5.050548315429688,0.453,22.716726303100586,0.26805066599627025
baseline,29,0.010817274569533766,0.9975,0.0018681806176900865,1.0,5.128585241699219,0.4528,22.756818771362305,0.27904599999601487
baseline,30,0.01034023878723383,0.997,0.04103768372535706,0.984,5.394520922851562,0.4358,22.799894332885742,0.28352541600179393
baseline,31,0.030980654314160347,0.9905,0.01718961763381958,0.996,5.135353393554688,0.4484,22.86305046081543,0.25224945900117746
baseline,32,0.04630544233322144,0.9835,0.06449253845214843,0.9795,5.198833251953125,0.432,22.99026107788086,0.25080108400288736
baseline,33,0.052423203453421593,0.9845,0.016201616525650026,0.996,4.74449091796875,0.4484,23.153005599975586,0.25298258399561746
baseline,34,0.03199607390165329,0.988,0.026618076562881468,0.994,5.06622705078125,0.4492,23.288301467895508,0.2543373749940656
baseline,35,0.03790701466798782,0.9875,0.01971253228187561,0.9955,5.350893603515625,0.4424,23.430572509765625,0.25470458299969323
weight_decay,0,nan,nan,2.3034690704345704,0.1,2.3034230041503907,0.1,13.954270362854004,0.11929937500099186
weight_decay,1,2.229297842025757,0.165,2.0668072204589842,0.2545,2.0911897705078126,0.2406,14.441741943359375,0.255732874997193
weight_decay,2,2.008730463027954,0.2635,1.9377828826904298,0.305,1.974600079345703,0.2924,14.836051940917969,0.2560003339967807
weight_decay,3,1.8631683311462401,0.3315,1.8269195098876954,0.324,1.9180898803710937,0.3042,15.216139793395996,0.2560514590004459
weight_decay,4,1.7546798095703124,0.357,1.6526554260253907,0.4055,1.7542840545654297,0.3588,15.559385299682617,0.2834797500036075
weight_decay,5,1.6375489177703857,0.407,1.5315795135498047,0.441,1.7066038940429689,0.3712,15.936369895935059,0.27402716699725715
weight_decay,6,1.501270477294922,0.4585,1.3918812255859374,0.5005,1.6243871795654297,0.4124,16.308914184570312,0.280836249999993
weight_decay,7,1.3772719793319703,0.498,1.28507275390625,0.5435,1.6323212371826172,0.4142,16.646623611450195,0.2761967909973464
weight_decay,8,1.2519265108108522,0.5565,1.1609393005371094,0.5815,1.5915049194335937,0.43,17.01482391357422,0.26458920799632324
weight_decay,9,1.1789482250213623,0.582,1.1178403549194336,0.5935,1.729128448486328,0.4096,17.421367645263672,0.26775733300019056
weight_decay,10,1.0462196116447449,0.6255,0.8508185958862304,0.697,1.6880184326171874,0.4508,17.85835838317871,0.2573252500005765
weight_decay,11,0.9076904382705688,0.6745,0.8304639358520508,0.7105,1.7293216857910156,0.4404,18.28215980529785,0.2566657080024015
weight_decay,12,0.7813245363235474,0.7225,0.5875716094970703,0.8045,1.8700817626953126,0.4454,18.732315063476562,0.2559001249974244
weight_decay,13,0.6038593966960907,0.789,0.5809258422851562,0.787,2.334015710449219,0.432,19.165552139282227,0.25523249999969266
weight_decay,14,0.5238620543479919,0.8215,0.41737635040283205,0.865,2.1387540771484375,0.4256,19.582632064819336,0.2568977499977336
weight_decay,15,0.38617038369178774,0.871,0.27139834403991697,0.9155,2.463905480957031,0.4462,19.988056182861328,0.2566509589960333
weight_decay,16,0.3405968337059021,0.884,0.2732058849334717,0.9125,2.6868734436035155,0.4378,20.385459899902344,0.25891137500002515
weight_decay,17,0.2186643716096878,0.9345,0.11418602085113526,0.967,2.9581744750976564,0.4444,20.737003326416016,0.25686945800407557
weight_decay,18,0.12263902628421783,0.968,0.04998482847213745,0.9915,3.3649879150390625,0.4446,21.013010025024414,0.25604887499503093
weight_decay,19,0.06650875481963157,0.9845,0.03822283697128296,0.994,3.912988427734375,0.4496,21.226200103759766,0.26375566700153286
weight_decay,20,0.05069299206137657,0.986,0.041033661127090455,0.9885,3.9904908935546874,0.4434,21.390714645385742,0.25467166699672816
