manifest_index,filename,image_id,breed,label,official_split,teaching_split,official_class_id,official_species_id,official_breed_id,selection_rank_sha256,jpeg_sha256,width,height
0,Abyssinian_185.jpg,Abyssinian_185,Abyssinian,0,trainval,train,1,1,1,0267d23676475e105d9e411739fa6f4f7a37fb32afb13b164618421b0b863a99,1e6b2cf2908475d786cd57e4d017f6ca5fadf4c8fff44faaa2c754fea7d4036a,300,225
1,Abyssinian_153.jpg,Abyssinian_153,Abyssinian,0,trainval,train,1,1,1,07a58f3a9bfa504d5c8750700aff42ddceccc34119487170290c090e10bedd32,8400815fb431a22d1c9799ecb0565ba347c954cbf37e9690cc53de6558a11f2f,500,263
2,Abyssinian_117.jpg,Abyssinian_117,Abyssinian,0,trainval,train,1,1,1,08a2291c639cefd75419d624de10362fd46f1a4d05f064f6bf052eae8fbadbb7,c8ecbb90066b277a371bb0fcfa98f4b0ccbe6826885c5fbf50178a44eb8c048c,500,401
3,Abyssinian_155.jpg,Abyssinian_155,Abyssinian,0,trainval,train,1,1,1,0a42e150a1ff5069b01f889025ca39a3ed9d20e80f1c4ab6fc44cebaa0710f40,984a91c3134494451148c59b4ba65f8ea215d5aa1103b88401f5b4b5bd3b8505,581,371
4,Abyssinian_142.jpg,Abyssinian_142,Abyssinian,0,trainval,train,1,1,1,0c11404cae3193c944fe82adc9e6453c4cde2156cf3d5b02780b6c3aef59fd1f,0573d962bd69a415f181aaaf01888e2e29735e001661f73102f63756eb93cc42,500,433
5,Abyssinian_106.jpg,Abyssinian_106,Abyssinian,0,trainval,train,1,1,1,111c71ae68f212cb6c05f19d64305bf78e3cd42f10fa72e821e81625e724c80d,0ea9e13391ac58c711645a8962c476ce159eba24431d4f50d90f7d344ff6e0a2,1536,1024
6,Abyssinian_140.jpg,Abyssinian_140,Abyssinian,0,trainval,train,1,1,1,194e45124de8bc279fad3032ee4df520a4253838d9c570eb7fc06af3697de17d,b5c32925c8e9964a5e5fb3d9fbccb7a70950b94fce33b2fcb63c2246848da362,500,333
7,Abyssinian_158.jpg,Abyssinian_158,Abyssinian,0,trainval,train,1,1,1,1f1829edf057cf9f9075625cd50afb8d5faff695ec6d812a9a95d8025b9d0e03,639288a50b3b45729829c3ff13cc3e31d57c5c7801bbca48f96e5b220fd38958,500,375
8,Abyssinian_196.jpg,Abyssinian_196,Abyssinian,0,trainval,train,1,1,1,209149fdd4b4232bd944b28de909812c7ce6ba62970ecb7bc9eb109a8578990d,bdc10f452220ad82c7204dbf6a52acad4339b61519a38e7197e76594f5a3a578,300,225
9,Abyssinian_169.jpg,Abyssinian_169,Abyssinian,0,trainval,train,1,1,1,31c5341ffe1a7dd43b574d379732e68a4af23f58eda2c5f0d947d4a4a8e5af89,2ec1bc6348274ea220ea9a5628520b268a2e5e897cf9a35f6cd6df2763f45fdd,300,300
10,Abyssinian_14.jpg,Abyssinian_14,Abyssinian,0,trainval,train,1,1,1,31e16f827c0dee90c27bcfc8385e82c4a4cbaeddb93bee06fb6efeee9a928b9b,0016bc0e646be47ba16953ac6194b44f9ff0844fd48475bcbab077037838ffc1,335,500
11,Abyssinian_15.jpg,Abyssinian_15,Abyssinian,0,trainval,train,1,1,1,3f9ece9cc1c9a05f6ffccc8a010cd94b611b0b1b6b25bbcc4c747bb6aeef6928,dd40ccc1aeb3789d87f1c5f31b433740df00064f170ff7d79997baf2c6e217d3,477,422
12,Bengal_106.jpg,Bengal_106,Bengal,1,trainval,train,6,1,2,1ad579baf702569fe5a9a76631d3c18b17fb53fda273e23c3313335edf527141,6a2355d76967e895ffbde0994a7e724eabe4c08b6e398e74acb8f13c8fbd5918,500,320
13,Bengal_186.jpg,Bengal_186,Bengal,1,trainval,train,6,1,2,2373e7ffbb6363a71ebd19ed5b2de5793453553aab2ebf1200e40487c3eaf46e,a518db3242977f5f022cbb042932586373bdadbefe4551e83b969dc050826eb6,470,300
14,Bengal_133.jpg,Bengal_133,Bengal,1,trainval,train,6,1,2,2c382a86ff32fc3b84eee40d67c3ee877b6289145d96e877b53b2f8f09764807,08fd53985d062327373b812c9808aee2ebb708b950005e5ddb8c8d8f00548774,300,200
15,Bengal_10.jpg,Bengal_10,Bengal,1,trainval,train,6,1,2,349f07925c791f15e88e7da4b7bc609c005596f2a28ef27edb4cb19e2e028d74,4cc958fc6bb47738488fdc83a3053f01ce2937c9fbcaf5db2e649a1d612f8725,500,375
16,Bengal_128.jpg,Bengal_128,Bengal,1,trainval,train,6,1,2,3af079ea2880402866d5c2dcccae237abcb9d6832f1d9c6c9e854fc59fcba9d0,e78bdd34586197e7cc327a865662410308e406f20987ca78fdc9c1918af33712,500,334
17,Bengal_142.jpg,Bengal_142,Bengal,1,trainval,train,6,1,2,3d1a68297e1438442a194ddf02156a1cab0620d0d278167a487e8781d21fc37f,87ef60cd7d06ec2604c96bc664107c1616485cb0c9c1550ec22a12c9b468beeb,300,225
18,Bengal_135.jpg,Bengal_135,Bengal,1,trainval,train,6,1,2,3e2d69a0179e55197a7e24112099baa593b07bac52e9f32087214d39d3ea399b,2658624b0ba73a2e80faae57a99c9d9aec5b422e572fd1615325507e0f8df9b7,300,145
19,Bengal_148.jpg,Bengal_148,Bengal,1,trainval,train,6,1,2,4a0c373aa64c4fe529a2d2b36da662dbd7d6e9c969895509d7520e7c529d9ec6,6a4df42b7d99674d7ae747b44db56bca464156693c5e5c5c4d7b4700e12e9766,300,200
20,Bengal_175.jpg,Bengal_175,Bengal,1,trainval,train,6,1,2,71778f50bd4fd4a920988ca7dfc0b8e56b87f8be80cea81e23540475bd9dbcd7,ed4c79535a876e8dfcbbdf000151c68e0c6e3b22a3c9c90b7c280d029774bb2d,300,181
21,Bengal_101.jpg,Bengal_101,Bengal,1,trainval,train,6,1,2,7278cf685553498996f7ffd345960eb2f53a32d206aef2483ec4425225be6c6c,a45beacc9252f1061ba909174f8019e932008c7befd9a68546d05dfab45f428f,500,455
22,Bengal_168.jpg,Bengal_168,Bengal,1,trainval,train,6,1,2,79195e3b9af9c570955e0729b89935c88aebc8e8adaa65c5a5d1b12e6a972410,af612ee2300dc2bad7644d88baea8c33c313bbedc92d6f715fdfe6cf3058f182,300,225
23,Bengal_138.jpg,Bengal_138,Bengal,1,trainval,train,6,1,2,8e565a294de715db40b16ef7f3db07a3ad2fa166dffdec22a41f9de123a35393,00895b7602b25c545758c28c979aadf98b4f378d093eb5d1b23295b44441b99a,300,297
24,Birman_137.jpg,Birman_137,Birman,2,trainval,train,7,1,3,11af23f0632eb2a7122beaa8a1d7071adfab8a2cadfaf8dc43a411a57916f0b2,61978e8b19b1872d1a10a9dcc0763a6fdc509d43655cec695716cd9d504f0f84,500,333
25,Birman_153.jpg,Birman_153,Birman,2,trainval,train,7,1,3,1b1061b80b6b7a0df1ce1d1c478dd2c5e770a1fe3838e9006babfcc232049dde,07af2acbe9ef535bd494de777cad9cc0557aef8a01f4c2f731caa5ad62e01855,500,407
26,Birman_164.jpg,Birman_164,Birman,2,trainval,train,7,1,3,1b85fc4cba2565fae6615ebf58f718e27a93810fdef35c4ea1a2db23f636c501,b38408873294899d932faf580449eb1cdf5c2054252043fda71a1ef0ea1b602f,352,319
27,Birman_116.jpg,Birman_116,Birman,2,trainval,train,7,1,3,2a02cd5974fb6ef9bfb978add0334a43cc08b906a0aaa5fd6f72760e4892cd59,e3e6b86885cc097002ae20ed865240a287fd51d543930717d75c80ddf3951ed6,333,500
28,Birman_184.jpg,Birman_184,Birman,2,trainval,train,7,1,3,2f165d68572ecf368eaf892463cbea1331efb5a1d857b430bd040354e514f5a2,e4d79da543a188c83fa9437620f1ca263154feba280d0261af672a1c0e5c295b,500,375
29,Birman_163.jpg,Birman_163,Birman,2,trainval,train,7,1,3,40e5f2f24bfecf95f5f85973047833476b88ff81f085d6d2ec7822a6c0a5b96e,0c8fd7b885f0ab31b8989098db7ea894a9d2251d3817e9a8654438958c4cd262,500,334
30,Birman_165.jpg,Birman_165,Birman,2,trainval,train,7,1,3,4c4de467b187dbf04a99cde6046c01e8da4db7328f11f1b780d1e5876c9f2f6f,2c2a8f4b8e42db67cfdd5f7a92d0e08b6d6affd77e7439b8d43a4c65f2c0e9d2,500,375
31,Birman_190.jpg,Birman_190,Birman,2,trainval,train,7,1,3,518b1b35ac2368b55679fbea2999ddc8e4adb447cb778777a14034247cf4ac81,ee504651a0cf6515b2ac7a545c459941d47eef4f57fd091d4967b8ed06aa6fb8,500,333
32,Birman_173.jpg,Birman_173,Birman,2,trainval,train,7,1,3,5b653432644916608380160d51770e8646c0f4dbb7a9216eeb4bba3d179697cd,590114600b5c0ce01434d2861cbc30597560059eee98dc5c1167845f96304019,500,333
33,Birman_123.jpg,Birman_123,Birman,2,trainval,train,7,1,3,64b3921ca93101702697e872232ae04336bbed0f2342a844c91e1dcc3f4858ab,0cbd2a5bec1cc2d054ea126ecf4d81520f7874f9cf84a5469399061ab74283f1,500,333
34,Birman_183.jpg,Birman_183,Birman,2,trainval,train,7,1,3,6cabb6fcd735a29448225abc0b3247576d1f6fbaa3c8adc58320e5279493a524,c624a5c38a01613e35c48ac717e41cb0314d0f04471ed07f1a40206266a87c81,500,333
35,Birman_102.jpg,Birman_102,Birman,2,trainval,train,7,1,3,6e85ee3d960931f500d99773f20ffdf3377371275dd19d0b0449a1cba9ab9255,da400e6fe650fd1d4c8ff45cbf6e2231310679dd9b3ae7a78586f7585e96244a,332,500
36,Bombay_15.jpg,Bombay_15,Bombay,3,trainval,train,8,1,4,125d58db42336162618d60e9efc95559ca2b0bd6f2cb99c90f5a5590db1f5529,ff181dcc6577af54a8437902cffa686b6687035cb9d382285eda027c0f26bc13,260,248
37,Bombay_143.jpg,Bombay_143,Bombay,3,trainval,train,8,1,4,13a71704cc041074e0d045f379b87fc597b9d087adab5c9add0e52c68d6a1057,ac115e07c4ea5da029a4810f7652b8880389ee265680bc15bcf94dc1c1a138a2,500,385
38,Bombay_148.jpg,Bombay_148,Bombay,3,trainval,train,8,1,4,1596ff299808d9389c4c026d19145bc7633955b4dcc38fec9138b36a1cdfd9fb,034678dcfad5c199cb21ae561ac7fe2594e7f31b044e643f7d0ad487cd6a68c9,500,375
39,Bombay_18.jpg,Bombay_18,Bombay,3,trainval,train,8,1,4,202694fd894021218eb133be0c14c91fa97719524ee4af0a1564027d75b334b5,c750eb60035490286ec5e11085d48cd94be3170b7cee33df4d5188be73da329c,254,380
40,Bombay_159.jpg,Bombay_159,Bombay,3,trainval,train,8,1,4,21f630c8c5c7ddb27ceb79e63a3184969a7b964904e40fc85407e6bce9f769ac,46e673c76dad8fde62bb585814124815f8b82eafc6d15b575516882d7182fb78,184,250
41,Bombay_137.jpg,Bombay_137,Bombay,3,trainval,train,8,1,4,23cac91f6208531d08c717831d444dde509a8d60bdf23078e06b7a8d89a37547,809c8cbfecc609fbaf31d728f21bc82d4a9b13cb36f4b6f948207fad5c888043,500,375
42,Bombay_1.jpg,Bombay_1,Bombay,3,trainval,train,8,1,4,2e98fc2b25584471e1abb4530d028d7a8acd8e5c141eea0b3ca80be4c8686cb3,9de53eade28207738448e52e1a2ef335a51b23b3629fdcd26075feaeab125b50,183,275
43,Bombay_168.jpg,Bombay_168,Bombay,3,trainval,train,8,1,4,3fbec952a81d95847a3b6f5807b3af27a4fc9437075e7d731f3035a225c75c02,ca91126a7ae02852ead29185072e63619211ddff6e79c450796060ba27900da9,500,375
44,Bombay_174.jpg,Bombay_174,Bombay,3,trainval,train,8,1,4,469968591191b3bf8ea54a922e9c2d1ec2146be8496c39de70aa550b31fa6030,7d894de8c745245a0fbe80da5a48d2d9169f5b7a9e856ccdd4e1f3d96f5bc134,404,500
45,Bombay_16.jpg,Bombay_16,Bombay,3,trainval,train,8,1,4,66d4493857d78bf663b073992cbbf64e7e27512928b9b3934d01bd734552faf6,89fb7f486be243dc95ea8549da143ef88b7f893c7f94719811744bf680bb6d38,500,343
46,Bombay_123.jpg,Bombay_123,Bombay,3,trainval,train,8,1,4,696d845382254d74555ff577638a42f33fda7afc8d0dac8d2b9791e674c4c873,2c8e528720d29bd92eb2b195ebda65f76a9c44efec8d58b4c3a31553b38002a3,360,269
47,Bombay_133.jpg,Bombay_133,Bombay,3,trainval,train,8,1,4,6c7b13cc5ddb81c664c9822e7e4aeb75bfa49ee7cace775355da27b09f38f377,79b3830813f553594c1e3c08a5f92809172555c6861e1d5b473359c811f30af5,360,305
48,British_Shorthair_122.jpg,British_Shorthair_122,British_Shorthair,4,trainval,train,10,1,5,03fba33fcdebe95cbbbe0ff32a98c4e85ce7c90c49c2347541b158cf3e2dceee,bddc7c6e2b1066a063382eeed0a33c8df6c484482acb62776695bda9ddd94767,500,346
49,British_Shorthair_163.jpg,British_Shorthair_163,British_Shorthair,4,trainval,train,10,1,5,1a5d622227ff43d32ef2f6c99edf94f690b51b13af558b13e18da85a6806d2c6,01e15de89e3a694db87aa34436ba75e42a3d95ca7b200af06d24a5fc6589c649,500,365
50,British_Shorthair_15.jpg,British_Shorthair_15,British_Shorthair,4,trainval,train,10,1,5,21250a2158ea9e63bfdce9cd45c759a824cb6c860c43fef5504c721691690925,7444ad519c9d284d8021952c50d878286a3b65d05451b5ae6644cdc5624da968,600,434
51,British_Shorthair_128.jpg,British_Shorthair_128,British_Shorthair,4,trainval,train,10,1,5,2372ee6518a9be2522d753ffb96f1eba4f7a1f58b664129f314adb09de6110f1,617971f03d0448bdfe1a85628856b45adbb3ae03ed194b5eab8d2b2fb42d1a66,332,500
52,British_Shorthair_149.jpg,British_Shorthair_149,British_Shorthair,4,trainval,train,10,1,5,27466f91c0aa9df6dc4054c4eb045d50c1ef2ba77de751a4916cff21c5e1c4e7,290c5f395fd488589bcd47a6661bfd3086b85c01d7373148aed8f950bd26cd24,500,375
53,British_Shorthair_167.jpg,British_Shorthair_167,British_Shorthair,4,trainval,train,10,1,5,2bb5112c069a6796d3b63c4ad7954fde106172911cdbc9dd4c7a9ce189a474cd,4a8a8e947a46fa199706e6c0285a4c5da04d9c5178b0031a3b30d4e3cdeaefd9,500,350
54,British_Shorthair_129.jpg,British_Shorthair_129,British_Shorthair,4,trainval,train,10,1,5,2ec06018ed401fc44ff325d726fb7b913e2395115579b880057863924dc525f2,bd77ff2f44f4043665e1585e083f3c066b1ea1fe29bd1d5a5a057af6be6a5212,375,500
55,British_Shorthair_144.jpg,British_Shorthair_144,British_Shorthair,4,trainval,train,10,1,5,2ee2a37d2b81d364aa97a32a69e5d99a012eb0761fcb201f6749f0686857320d,5aa5fa1d5c38501c084d5433ab8862cbf4c194dba0c1fed2ce658c20d1598593,500,375
56,British_Shorthair_176.jpg,British_Shorthair_176,British_Shorthair,4,trainval,train,10,1,5,30dca1ed28143d04cead3fffc49780d1b4f0c20a87633952ba14f433bb7af5fd,9fe29d6ce4b88bcbfb24657df9c83fe40dfc173ff4cc43b571f4eb85d46e9abb,500,375
57,British_Shorthair_133.jpg,British_Shorthair_133,British_Shorthair,4,trainval,train,10,1,5,3d189debcb34633c18ac15192a832a7fc01cee51dd2539ed2623600e4d96cdc3,4377a00e698313b835b5d59fa1c8417b15e0c3ed7243a994ca508ff85a6d3b71,500,335
